196	242	3	881250949
186	302	3	891717742
22	377	1	878887116
244	51	2	880606923
166	346	1	886397596
115	265	2	881171488
6	86	3	883603013
62	257	2	879372434
200	222	5	876042340
210	40	3	891035994
224	29	3	888104457
122	387	5	879270459
194	274	2	879539794
119	392	4	886176814
299	144	4	877881320
291	118	2	874833878
308	1	4	887736532
38	95	5	892430094
63	277	4	875747401
160	234	5	876861185
50	246	3	877052329
301	98	4	882075827
225	193	4	879539727
290	88	4	880731963
97	194	3	884238860
157	274	4	886890835
7	32	4	891350932
10	16	4	877888877
284	304	4	885329322
287	327	5	875333916
246	201	5	884921594
249	241	5	879641194
99	4	5	886519097
178	332	3	882823437
251	100	4	886271884
260	322	4	890618898
25	181	5	885853415
59	196	5	888205088
87	384	4	879877127
290	143	5	880474293
115	20	3	881171009
20	288	1	879667584
201	219	4	884112673
138	26	5	879024232
167	232	1	892738341
57	304	5	883698581
223	274	4	891550094
243	15	3	879987440
194	165	4	879546723
178	248	4	882823954
293	5	3	888906576
127	229	5	884364867
225	237	5	879539643
299	229	3	878192429
276	54	3	874791025
291	144	5	874835091
222	366	4	878183381
11	111	4	891903862
8	338	4	879361873
162	25	4	877635573
279	154	5	875296291
145	275	2	885557505
62	382	3	879375537
28	209	4	881961214
135	23	4	879857765
32	294	3	883709863
90	382	5	891383835
286	208	4	877531942
216	144	4	880234639
166	328	5	886397722
271	132	5	885848672
160	174	5	876860807
265	118	4	875320714
42	96	5	881107178
168	151	5	884288058
110	307	4	886987260
58	144	4	884304936
271	346	4	885844430
62	21	3	879373460
298	317	4	884182806
44	195	5	878347874
264	200	5	886122352
194	385	2	879524643
72	195	5	880037702
250	264	3	878089182
41	265	3	890687042
224	245	3	888082216
82	135	3	878769629
250	140	3	878092059
59	23	5	888205300
286	379	5	877533771
174	368	1	886434402
87	274	4	879876734
13	272	4	884538403
43	14	2	883955745
299	111	3	877878184
160	135	4	876860807
99	268	3	885678247
259	117	4	874724988
213	273	5	878870987
90	98	5	891383204
155	323	2	879371261
68	117	4	876973939
172	177	4	875537965
19	4	4	885412840
268	231	4	875744136
5	2	3	875636053
305	117	2	886324028
44	294	4	883612356
43	137	4	875975656
254	164	4	886472768
298	281	3	884183336
66	298	4	883601324
99	79	4	885680138
13	98	4	881515011
26	258	3	891347949
119	328	4	876923913
213	172	5	878955442
276	322	3	874786392
130	379	4	875801662
38	328	4	892428688
130	216	4	875216545
1	61	4	878542420
72	48	4	880036718
13	360	4	882140926
92	77	3	875654637
292	174	5	881105481
224	26	3	888104153
181	220	4	878962392
259	255	4	874724710
52	280	3	882922806
161	202	5	891170769
125	235	2	892838559
97	228	5	884238860
83	234	4	887665548
90	347	4	891383319
272	178	5	879455113
194	181	3	879521396
299	14	4	877877775
151	10	5	879524921
269	127	4	891446165
6	14	5	883599249
54	106	3	880937882
303	69	5	879467542
305	214	2	886323068
91	323	2	891438397
294	109	4	877819599
286	171	4	877531791
200	318	5	884128458
229	328	1	891632142
62	65	4	879374686
92	172	4	875653271
36	339	5	882157581
63	242	3	875747190
28	201	3	881961671
279	68	4	875307407
250	7	4	878089716
14	98	3	890881335
194	54	3	879525876
119	237	5	874775038
295	218	5	879966498
268	2	2	875744173
66	258	4	883601089
233	202	5	879394264
214	334	3	891542540
100	344	4	891374868
268	145	1	875744501
301	56	4	882076587
307	89	5	879283786
234	141	3	892334609
181	264	2	878961624
297	133	4	875240090
38	153	5	892430369
7	382	4	891352093
201	146	1	884140579
269	367	3	891450023
286	143	4	889651549
193	96	1	889124507
292	11	5	881104093
275	98	4	875155140
219	82	1	889452455
218	209	5	877488546
119	222	5	874775311
158	177	4	880134407
222	118	4	877563802
302	322	2	879436875
301	79	5	882076403
181	3	2	878963441
13	198	3	881515193
1	189	3	888732928
145	237	5	875270570
23	385	4	874786462
16	64	5	877720297
95	135	3	879197562
154	357	4	879138713
302	303	2	879436785
222	77	4	878183616
13	215	5	882140588
145	15	2	875270655
187	64	5	879465631
200	304	5	876041644
184	218	3	889909840
128	204	4	879967478
184	153	3	889911285
1	33	4	878542699
1	160	4	875072547
184	321	5	889906967
94	343	4	891725009
23	323	2	874784266
301	227	3	882077222
301	191	3	882075672
82	183	3	878769848
303	134	5	879467959
215	212	2	891435680
69	256	5	882126156
276	2	4	874792436
13	56	5	881515011
286	237	2	875806800
294	271	5	889241426
18	26	4	880129731
92	229	3	875656201
144	89	3	888105691
191	302	4	891560253
200	96	5	884129409
16	197	5	877726146
271	199	4	885848448
142	169	5	888640356
222	151	3	878182109
87	40	3	879876917
207	258	4	877879172
177	333	4	880130397
271	378	4	885849447
10	175	3	877888677
203	321	3	880433418
191	286	4	891560842
43	323	3	875975110
197	96	5	891409839
13	344	2	888073635
194	66	3	879527264
234	206	4	892334543
94	265	4	891721889
268	62	3	875310824
272	12	5	879455254
121	291	3	891390477
296	20	5	884196921
134	286	3	891732334
104	117	2	888465972
7	163	4	891353444
52	250	3	882922661
13	186	4	890704999
236	71	3	890116671
263	176	5	891299752
244	186	3	880605697
83	78	2	880309089
151	197	5	879528710
249	188	4	879641067
64	392	3	889737542
222	97	4	878181739
293	135	5	888905550
213	173	5	878955442
5	17	4	875636198
125	163	5	879454956
174	315	5	886432749
23	196	2	874786926
128	15	4	879968827
239	56	4	889179478
181	279	1	878962955
291	80	4	875086354
250	238	4	878089963
60	60	5	883327734
181	325	2	878961814
287	1	5	875334088
216	228	3	880245642
213	176	4	878956338
286	288	5	875806672
99	111	1	885678886
65	47	2	879216672
295	194	4	879517412
269	217	2	891451610
85	259	2	881705026
137	144	5	881433689
257	137	4	882049932
111	328	4	891679939
215	211	4	891436202
1	20	4	887431883
299	305	3	879737314
187	210	4	879465242
222	278	2	877563913
285	191	4	890595859
303	252	3	879544791
96	156	4	884402860
116	350	3	886977926
269	246	5	891457067
72	182	5	880036515
25	357	4	885852757
290	50	5	880473582
299	303	3	877618584
264	294	3	886121516
200	365	5	884129962
187	135	4	879465653
184	187	4	889909024
63	289	2	875746985
13	229	4	882397650
235	185	4	889655435
246	94	2	884923505
92	168	4	875653723
307	174	4	879283480
303	200	4	879468459
72	54	3	880036854
117	150	4	880125101
224	77	4	888103872
94	184	2	891720862
281	338	2	881200457
130	109	3	874953794
128	371	1	879966954
254	229	4	886474580
64	381	4	879365491
151	176	2	879524293
45	25	4	881014015
276	57	3	874787526
234	187	4	892079140
181	306	1	878962006
21	370	1	874951293
293	249	3	888905229
197	346	3	891409070
276	142	3	874792945
131	126	4	883681514
109	8	3	880572642
198	58	3	884208173
244	265	4	880606634
90	289	3	891382310
157	25	3	886890787
305	71	3	886323684
119	382	5	874781742
21	222	2	874951382
231	181	4	888605273
288	132	3	886374129
301	33	4	882078228
90	259	2	891382392
308	55	3	887738760
56	121	5	892679480
62	12	4	879373613
276	40	3	874791871
152	301	3	880147407
79	303	4	891271203
308	81	5	887737293
75	284	2	884050393
269	198	4	891447062
307	94	3	877122695
269	22	1	891448072
69	240	3	882126156
10	7	4	877892210
22	376	3	878887112
279	399	4	875313859
269	234	1	891449406
6	98	5	883600680
298	181	4	884125629
282	325	1	881703044
78	323	1	879633567
118	200	5	875384647
171	292	4	891034835
70	217	4	884151119
10	100	5	877891747
245	181	4	888513664
107	333	3	891264267
276	70	4	874790826
244	17	2	880607205
189	56	5	893265263
226	242	5	883888671
306	235	4	876504354
222	26	3	878183043
56	71	4	892683275
42	274	5	881105817
1	202	5	875072442
173	289	4	877556988
185	23	4	883524249
244	381	4	880604077
150	293	4	878746946
178	317	4	882826915
97	222	5	884238887
109	127	2	880563471
117	268	5	880124306
207	13	3	875506839
87	367	4	879876702
101	304	3	877135677
256	127	4	882164406
213	235	1	878955115
18	86	4	880129731
5	225	2	875635723
22	128	5	878887983
8	22	5	879362183
276	188	4	874792547
222	173	5	878183043
299	134	4	878192311
1	171	5	889751711
308	295	3	887741461
165	216	4	879525778
222	49	3	878183512
181	121	4	878962623
200	11	5	884129542
90	25	5	891384789
208	216	5	883108324
263	96	4	891298336
134	323	4	891732335
2	292	4	888550774
49	302	4	888065432
286	153	5	877531406
205	304	3	888284313
22	80	4	878887227
234	318	4	892078890
223	328	3	891548959
15	25	3	879456204
268	147	4	876514002
268	217	2	875744501
16	55	5	877717956
290	161	4	880474293
248	234	4	884534968
234	10	3	891227851
308	187	5	887738760
276	64	5	874787441
201	272	3	886013700
295	39	4	879518279
276	181	5	874786488
217	2	3	889069782
189	20	5	893264466
267	121	3	878970681
126	294	3	887855087
125	80	4	892838865
43	120	4	884029430
253	259	2	891628883
42	44	3	881108548
268	21	3	875742822
262	28	3	879792220
234	81	3	892334680
29	245	3	882820803
236	57	5	890116575
232	52	5	888550130
37	288	4	880915258
141	245	3	884584426
235	230	4	889655162
102	70	3	888803537
